S.NO,Playlist Title,Playlist link,Channel Name,Channel Link
38,Podcast / Running commentary,https://www.youtube.com/watch?v=OYHhPmmNUEs&list=PL1vNLZF5gfwfkCcU6Y853FqNxvQyjXWTJ,Amit Sengupta,https://www.youtube.com/c/AmitSenguptaAKS
39,Elon Musk,https://www.youtube.com/watch?v=GNG6ZzDh9C8&list=PL2emIVKBZLQ2m2Q62lZFP9dorwCVaVMXv,Madhan Gopal,https://www.youtube.com/channel/UCKTgLtx1SR8xt4-7Lo4nATw
40,Elon Musk,https://www.youtube.com/watch?v=ROnomVVQ2cU&list=PLE9D_6Rz1snrsmNDtPr7R6W-D-zFIQEqc,Lauren Burton,https://www.youtube.com/channel/UC96sO2pHbFjFvyue4ZtdPrg
41,"Elon Musk (Work ethics, Principles)",https://www.youtube.com/watch?v=h97fXhDN5qE&list=PLKgyu_ljg7f1cMudnQ9pN4-WZ8w9q555p,John Hunter,https://www.youtube.com/user/Hunter99band
42,ELON MUSK,https://www.youtube.com/watch?v=vDwzmJpI4io&list=PLDZA_73-3A4NEOLVUXIGfKgezPzQaccVc,Marc McClure,https://www.youtube.com/user/MarcFarc
43,CYBERSKY PODCAST: Welcome to the Cybersky!,https://www.youtube.com/watch?v=oiwohc78vxs&list=PLhx-h3UlA3K3QTBYYJdFU_L7K1fcyBhs-,CYBERSKY VIDEOS,https://www.youtube.com/c/CYBERSKYvideos
44,Elon Musk,https://www.youtube.com/watch?v=GtaxU6DZvLs&list=PLj5pzRom_v0dObNAeS_8pAThx3WbZMmhq,coby hizkiya,https://www.youtube.com/channel/UCG6xyVc5PlE0sJVN5NRt5Qg
45,Ted Talks/Elon Musk,https://www.youtube.com/watch?v=JV8mIfjwPeM&list=PL-Xn7iZGf8VkLhOVY07bozdPqH97Oi5Ym,bilbojumper,https://www.youtube.com/user/bilbojumper
46,Elon Musk,https://www.youtube.com/watch?v=o_f4h29Dnek&list=PLfPUuvqh__svn445pGK_L-QPAHZX-_d6t,Colby Neal,https://www.youtube.com/channel/UCJyAKT5uBQb8NCSvF8tqTnw
47,Elon Musk,https://www.youtube.com/watch?v=H7Uyfqi_TE8&list=PLT5t3tmClbCzZ5TMD4y8ImaFugbnMS8Vo,Ryan Grimes,https://www.youtube.com/channel/UCLIXiGRapQRgVLVLOZtxqKg
48,Elon musk,https://www.youtube.com/watch?v=N0bj4UZ3zWg&list=PLxbkqMCUexRL_SV20xHyMdKSZN8Eg84Sv,Duyen Tran,https://www.youtube.com/channel/UCFjtgEI8kD-0xioSJyKOBjQ
49,Law&amp;Crime Sidebar Podcast,https://www.youtube.com/watch?v=3I5ugjMvx1c&list=PLoW1SIeAWaWZYq0PyVsTAP7kQaPMEY810,Law&amp;Crime Network,https://www.youtube.com/c/LawCrimeNetwork
50,Elon Musk Simulation,https://www.youtube.com/watch?v=Ra3fv8gl6NE&list=PLrA0zI86-0lQLEdRaKqAVcrJBbYdP05aS,Noraa Enilc,https://www.youtube.com/channel/UCD2KZ8MsIm-Shj-9PrPsgKQ
51,Elon Musk,https://www.youtube.com/watch?v=49e7LrxS3FQ&list=PLuH3FgaqQr1LL9FFtv1pAWMDbPVo-S__m,Himanshu,https://www.youtube.com/channel/UCQ799PKIR3Ct5OGAC0gdYRQ
52,Full Send Podcast,https://www.youtube.com/watch?v=Tp1qh0pk76I&list=PL0Q0Pzrb9KutQcg1XHClpKmni0wNlVP5G,21st.wealth,https://www.youtube.com/channel/UCiu1Z865rTycWjqBAWKSCuA
53,Elon Musk Short Advice,https://www.youtube.com/watch?v=NO0MSSYbu0o&list=PLR88dvI-ueLjf-veRjT7Hj-7UeyLaWORH,1 Minute Advice,https://www.youtube.com/c/1MinuteAdvice
54,Op Podcast,https://www.youtube.com/watch?v=3qHkcs3kG44&list=PLPSarFOSvS5VJBkmqa60gxNRXFn5h0wjf,Shubham Shirsath,https://www.youtube.com/channel/UCCUFK3aHBapNiqvWsfJq4wg
55,Elon Musk,https://www.youtube.com/watch?v=BqvBhhTtUm4&list=PLETYMbHUhXBEOASWCz4-Q8YcuaYehgfkN,Law G,https://www.youtube.com/channel/UCogi9qJhhcQRYCLLWsrsw9Q
56,Elon Musk,https://www.youtube.com/watch?v=3K4KA70auo8&list=PL7MlumyXGmo7oF7H_aCMUGtFD7CDqFj0c,Henry Blanchette,https://www.youtube.com/user/SpiralSpawn52
57,#podcast-ElonMusk,https://www.youtube.com/watch?v=ycPr5-27vSI&list=PL2-SzlOClvg_Zg7ep1ChqA6PJ9KbFmbr4,RL.C-360,https://www.youtube.com/channel/UCKqxSVvm0yq8S3gmdoNGxKw
